ENTITY	YEAR	CATEGORY	VAIC	ICE	HCE	SCE	CCE	VA	HC	SC	CE	LIABILITIES	ASSETS	EQUITY	NETPROFITS	SALES	DEBT	SIZE	ROA	ENTITY_ID
"BANBIF"	2019	"Banco"	3.08	2.73	2.19	0.54	0.35	427684.00	195488.00	232196.00	1218666.00	13555026.00	14773692.00	1218666.00	157018.00	1150382.00	0.92	1.15	0.0106	1
"BANBIF"	2020	"Banco"	2.13	1.92	1.56	0.36	0.21	276996.00	177869.00	99127.00	1300002.00	17041917.00	18341919.00	1300002.00	63882.00	1093315.00	0.93	1.09	0.0035	1
"BANBIF"	2021	"Banco"	2.63	2.36	1.89	0.47	0.27	375793.00	198773.00	177020.00	1397197.00	17671262.00	19068459.00	1397197.00	157836.00	1048557.00	0.93	1.05	0.0083	1
"BANBIF"	2022	"Banco"	3.13	2.83	2.27	0.56	0.29	470166.00	206988.00	263178.00	1593786.00	17627927.00	19221713.00	1593786.00	179373.00	1262954.00	0.92	1.26	0.0093	1
"BANBIF"	2023	"Banco"	3.01	2.72	2.18	0.54	0.28	489983.00	224507.00	265476.00	1741528.00	19333338.00	21074866.00	1741528.00	179873.00	1703022.00	0.92	1.70	0.0085	1
"BANCO DE LA NACIÓN"	2019	"Banco"	4.80	4.06	3.36	0.70	0.73	2027455.00	603056.00	1424399.00	2764821.00	30171480.00	32936301.00	2764821.00	1089540.00	2360686.00	0.92	2.36	0.0331	2
"BANCO DE LA NACIÓN"	2020	"Banco"	3.84	3.26	2.64	0.62	0.59	1394776.00	529017.00	865759.00	2373978.00	41891094.00	44265072.00	2373978.00	658292.00	1909283.00	0.95	1.91	0.0149	2
"BANCO DE LA NACIÓN"	2021	"Banco"	3.09	2.42	1.93	0.48	0.67	1065352.00	551155.00	514197.00	1587597.00	45690537.00	47278134.00	1587597.00	354470.00	1987623.00	0.97	1.99	0.0075	2
"BANCO DE LA NACIÓN"	2022	"Banco"	4.44	3.56	2.91	0.66	0.87	1776424.00	611064.00	1165360.00	2032926.00	44560866.00	46593792.00	2032926.00	886585.00	2940213.00	0.96	2.94	0.0190	2
"BANCO DE LA NACIÓN"	2023	"Banco"	6.16	5.14	4.37	0.77	1.02	2608914.00	596984.00	2011930.00	2556603.00	43812966.00	46369569.00	2556603.00	1652355.00	3901576.00	0.94	3.90	0.0356	2
"BANCO FALABELLA"	2019	"Banco"	2.92	2.47	1.97	0.49	0.45	361887.00	183472.00	178415.00	801194.00	3520216.00	4321410.00	801194.00	95119.00	1184020.00	0.81	1.18	0.0220	3
"BANCO FALABELLA"	2020	"Banco"	-0.28	-0.41	0.52	-0.93	0.12	87239.00	167940.00	-80701.00	711003.00	3242876.00	3953879.00	711003.00	-90301.00	921713.00	0.82	0.92	-0.0228	3
"BANCO FALABELLA"	2021	"Banco"	1.27	1.08	1.04	0.04	0.19	161200.00	154713.00	6487.00	850426.00	3316917.00	4167343.00	850426.00	-43094.00	811013.00	0.80	0.81	-0.0103	3
"BANCO FALABELLA"	2022	"Banco"	2.21	1.95	1.58	0.37	0.26	246672.00	156221.00	90451.00	950528.00	4549950.00	5500478.00	950528.00	17012.00	1268986.00	0.83	1.27	0.0031	3
"BANCO FALABELLA"	2023	"Banco"	0.96	0.81	0.91	-0.10	0.15	138948.00	152839.00	-13891.00	914196.00	3804984.00	4719180.00	914196.00	-45801.00	1505402.00	0.81	1.51	-0.0097	3
"BANK OF CHINA"	2019	"Banco"	2.03	2.03	-0.61	2.64	-0.01	-1525.00	2506.00	-4031.00	259899.00	14142.00	274041.00	259899.00	-5301.00	4090.00	0.05	0.00	-0.0193	4
"BANK OF CHINA"	2020	"Banco"	-2.70	-2.71	0.25	-2.96	0.01	1339.00	5301.00	-3962.00	255375.00	15219.00	270594.00	255375.00	-4524.00	2803.00	0.06	0.00	-0.0167	4
"BANK OF CHINA"	2021	"Banco"	1.64	1.68	-0.72	2.39	-0.03	-8095.00	11290.00	-19385.00	237601.00	283899.00	521500.00	237601.00	-17460.00	5451.00	0.54	0.01	-0.0335	4
"BANK OF CHINA"	2022	"Banco"	1.58	1.51	1.29	0.22	0.07	15737.00	12199.00	3538.00	238136.00	357230.00	595366.00	238136.00	2479.00	29672.00	0.60	0.03	0.0042	4
"BANK OF CHINA"	2023	"Banco"	3.03	2.89	2.32	0.57	0.14	36259.00	15631.00	20628.00	255566.00	1493190.00	1748756.00	255566.00	18107.00	72660.00	0.85	0.07	0.0104	4
"BBVA"	2019	"Banco"	4.87	4.51	3.78	0.74	0.36	3273234.00	866146.00	2407088.00	9180466.00	72598433.00	81778899.00	9180466.00	1609056.00	5609383.00	0.89	5.61	0.0197	5
"BBVA"	2020	"Banco"	3.02	2.81	2.25	0.56	0.21	1944499.00	862851.00	1081648.00	9361856.00	97975412.00	107337268.00	9361856.00	648216.00	5110034.00	0.91	5.11	0.0060	5
"BBVA"	2021	"Banco"	4.69	4.36	3.63	0.72	0.33	3375464.00	928619.00	2446845.00	10168729.00	91327026.00	101495755.00	10168729.00	1560500.00	5110238.00	0.90	5.11	0.0154	5
"BBVA"	2022	"Banco"	4.90	4.55	3.82	0.74	0.35	3910490.00	1024888.00	2885602.00	11253374.00	86792072.00	98045446.00	11253374.00	1921759.00	6632571.00	0.89	6.63	0.0196	5
"BBVA"	2023	"Banco"	4.38	4.07	3.37	0.70	0.31	3790266.00	1125848.00	2664418.00	12369668.00	91954134.00	104323802.00	12369668.00	1873736.00	8599565.00	0.88	8.60	0.0180	5
"BCP"	2019	"Banco"	4.17	3.75	3.08	0.67	0.42	7945172.00	2582777.00	5362395.00	19025400.00	131634545.00	150659945.00	19025400.00	3646985.00	13576808.00	0.87	13.58	0.0242	6
"BCP"	2020	"Banco"	2.15	1.96	1.59	0.37	0.20	3713204.00	2341141.00	1372063.00	18943369.00	176249269.00	195192638.00	18943369.00	816786.00	10295427.00	0.90	10.30	0.0042	6
"BCP"	2021	"Banco"	3.77	3.42	2.78	0.64	0.35	7191046.00	2585269.00	4605777.00	20471521.00	177361119.00	197832640.00	20471521.00	3044533.00	12496191.00	0.90	12.50	0.0154	6
"BCP"	2022	"Banco"	4.40	3.98	3.28	0.70	0.43	9478518.00	2888728.00	6589790.00	22201402.00	168653877.00	190855279.00	22201402.00	4502197.00	16036311.00	0.88	16.04	0.0236	6
"BCP"	2023	"Banco"	4.34	3.94	3.25	0.69	0.40	9573974.00	2944336.00	6629638.00	24176035.00	167682283.00	191858318.00	24176035.00	4666070.00	19623648.00	0.87	19.62	0.0243	6
"Banco del Comercio"	2019	"Banco"	2.88	2.57	2.05	0.51	0.32	106537.00	51872.00	54665.00	337673.00	1700777.00	2038450.00	337673.00	34619.00	239315.00	0.83	0.24	0.0170	7
"Banco del Comercio"	2020	"Banco"	2.43	2.17	1.74	0.43	0.26	93245.00	53482.00	39763.00	360995.00	1961147.00	2322142.00	360995.00	23348.00	250984.00	0.84	0.25	0.0101	7
"Banco del Comercio"	2021	"Banco"	2.20	1.98	1.61	0.38	0.22	81933.00	50985.00	30948.00	375607.00	1911678.00	2287285.00	375607.00	16174.00	236302.00	0.84	0.24	0.0071	7
"Banco del Comercio"	2022	"Banco"	2.23	2.02	1.63	0.39	0.21	84214.00	51624.00	32590.00	396470.00	1942169.00	2338639.00	396470.00	18400.00	253292.00	0.83	0.25	0.0079	7
"Banco del Comercio"	2023	"Banco"	1.60	1.44	1.25	0.20	0.16	64171.00	51529.00	12642.00	400838.00	1897976.00	2298814.00	400838.00	4194.00	271822.00	0.83	0.27	0.0018	7
"CITIBANK"	2019	"Banco"	5.51	5.14	4.37	0.77	0.37	360763.00	82543.00	278220.00	985219.00	4925794.00	5911013.00	985219.00	213915.00	329410.00	0.83	0.33	0.0362	8
"CITIBANK"	2020	"Banco"	4.42	4.18	3.47	0.71	0.24	281932.00	81266.00	200666.00	1161391.00	7695873.00	8857264.00	1161391.00	161753.00	229893.00	0.87	0.23	0.0183	8
"CITIBANK"	2021	"Banco"	3.81	3.51	2.86	0.65	0.29	244941.00	85530.00	159411.00	841024.00	6884776.00	7725800.00	841024.00	110475.00	197034.00	0.89	0.20	0.0143	8
"CITIBANK"	2022	"Banco"	5.78	5.32	4.54	0.78	0.46	430733.00	94905.00	335828.00	937569.00	6252944.00	7190513.00	937569.00	252113.00	429462.00	0.87	0.43	0.0351	8
